Nome_da_Imagem,PID,Nome_da_Sessao,Sessao#,Uso_de_memoria (K)
SamsungSettingsService.ex,1968,Console,1,20.420
PhoneExperienceHost.exe,14672,Console,1,224.608
TextInputHost.exe,14968,Console,1,185.184
SecurityHealthSystray.exe,14504,Console,1,11.112
SecurityHealthService.exe,12888,Services,0,22.424
ColorEngine.exe,14876,Console,1,6.620
igfxextN.exe,13936,Console,1,12.164
NortonUI.exe,2544,Console,1,80.644
svchost.exe,15212,Services,0,23.508
OneDrive.exe,14580,Console,1,428.548
svchost.exe,10536,Services,0,13.620
svchost.exe,6816,Console,1,22.256
svchost.exe,12076,Services,0,10.108
jetbrains-toolbox.exe,15684,Console,1,220.140
ApplicationFrameHost.exe,8412,Console,1,38.092
svchost.exe,14308,Services,0,7.992
svchost.exe,16708,Console,1,10.168
svchost.exe,16280,Services,0,14.176
svchost.exe,13892,Console,1,13.160
NortonUI.exe,15788,Console,1,45.740
NortonUI.exe,5820,Console,1,35.472
NortonUI.exe,10292,Console,1,45.992
ShellExperienceHost.exe,16296,Console,1,107.132
RuntimeBroker.exe,15692,Console,1,26.196
SUEngine.exe,13964,Console,1,86.100
svchost.exe,7676,Services,0,25.880
conhost.exe,3344,Console,1,12.624
dasHost.exe,12176,Services,0,16.300
svchost.exe,4908,Services,0,15.920
msedgewebview2.exe,17380,Console,1,9.260
msedgewebview2.exe,3628,Console,1,8.220
msedgewebview2.exe,3136,Console,1,5.208
msedgewebview2.exe,16216,Console,1,4.808
msedgewebview2.exe,5292,Console,1,16
msedgewebview2.exe,17836,Console,1,180
dllhost.exe,1328,Console,1,9.896
svchost.exe,18164,Services,0,10.760
SystemSettingsBroker.exe,10968,Console,1,35.856
svchost.exe,9980,Services,0,9.096
msedgewebview2.exe,10648,Console,1,1.920
svchost.exe,20452,Console,1,10.304
FileCoAuth.exe,19948,Console,1,32.764
dllhost.exe,11440,Console,1,10.252
LockApp.exe,16132,Console,1,93.632
RuntimeBroker.exe,1296,Console,1,42.904
backgroundTaskHost.exe,18884,Console,1,2.256
svchost.exe,17292,Services,0,11.140
svchost.exe,11584,Services,0,8.740
backgroundTaskHost.exe,20016,Console,1,2.088
backgroundTaskHost.exe,12308,Console,1,2.100
backgroundTaskHost.exe,21268,Console,1,2.100
DataExchangeHost.exe,23776,Console,1,27.444
backgroundTaskHost.exe,19108,Console,1,2.104
backgroundTaskHost.exe,17660,Console,1,2.116
backgroundTaskHost.exe,2636,Console,1,2.780
backgroundTaskHost.exe,25292,Console,1,2.092
backgroundTaskHost.exe,1836,Console,1,2.380
backgroundTaskHost.exe,23624,Console,1,2.404
backgroundTaskHost.exe,4524,Console,1,2.408
backgroundTaskHost.exe,12516,Console,1,2.100
vmcompute.exe,18848,Services,0,12.996
backgroundTaskHost.exe,21032,Console,1,2.096
backgroundTaskHost.exe,7564,Console,1,2.148
backgroundTaskHost.exe,6964,Console,1,2.276
taskhostw.exe,15252,Console,1,36.236
backgroundTaskHost.exe,12736,Console,1,2.092
backgroundTaskHost.exe,22360,Console,1,2.216
backgroundTaskHost.exe,19368,Console,1,3.760
backgroundTaskHost.exe,4996,Console,1,3.492
backgroundTaskHost.exe,19964,Console,1,3.008
backgroundTaskHost.exe,21988,Console,1,3.352
backgroundTaskHost.exe,22892,Console,1,2.100
backgroundTaskHost.exe,25492,Console,1,2.096
backgroundTaskHost.exe,24680,Console,1,2.288
svchost.exe,17684,Services,0,9.080
svchost.exe,22776,Services,0,8.768
backgroundTaskHost.exe,17568,Console,1,3.760
SystemSettings.exe,22284,Console,1,3.200
backgroundTaskHost.exe,18136,Console,1,2.096
backgroundTaskHost.exe,25016,Console,1,2.124
backgroundTaskHost.exe,22300,Console,1,2.172
backgroundTaskHost.exe,24100,Console,1,3.284
backgroundTaskHost.exe,17184,Console,1,2.092
backgroundTaskHost.exe,8364,Console,1,2.820
