Máquina,SO,PorcentCPU,FreqCPU,UsoRAM,PorcentRAM,UsoDisco,PorcentDisco
sptech02956,Linux,4.0,1.7095162499999998,4.700880896,44.8,135.73052416,60.3
sptech02956,Linux,1.5,1.9500060000000001,4.700233728,44.8,135.73052416,60.3
